Parte;CapituloNumero;ParteCapitulo;Capitulo;Total_caracteres;Total_palabras;Longitud_media_frases;Palabras_lexicas;Palabras_funcionales;Densidad_lexica;Indice_Legilibilidad_FH;Frecuencia_Quijote;Frecuencia_Sancho;GrupoQS0-QSx
1;1;1-C01;1-C01-q04s00.txt;1885;10379;4;0;64,64;;;0,43;27,92;QnnSnn
1;2;1-C02;1-C02-q13s00.txt;2215;12354;13;0;70,62;;;0,45;22,22;QnnSnn
1;3;1-C03;1-C03-q17s01.txt;2337;12925;17;1;73,38;;;0,45;19,8;QnnSnn
1;4;1-C04;1-C04-q19s00.txt;2456;13406;19;0;49,47;;;0,44;43,01;QnnSnn
1;5;1-C05;1-C05-q11s00.txt;1615;8694;11;0;62,53;;;0,41;33,12;QnnSnn
1;6;1-C06;1-C06-q00s00.txt;2537;13760;0;0;38,18;;;0,42;55,36;Q00S00
1;7;1-C07;1-C07-q17s09.txt;1870;10137;17;9;49,32;;;0,43;44,58;QnnSnn
1;8;1-C08;1-C08-q30s22.txt;3002;16503;30;22;51,69;;;0,44;40,14;QnnSnn
1;9;1-C09;1-C09-q12s03.txt;1982;10845;12;3;70,97;;;0,43;23,28;QnnSnn
1;10;1-C10;1-C10-q17s21.txt;1935;10520;17;21;48,94;;;0,44;44,96;QnnSnn
1;11;1-C11;1-C11-q08s10.txt;2158;11803;8;10;46,14;;;0,45;44,95;QnnSnn
1;12;1-C12;1-C12-q09s02.txt;2329;12479;9;2;43,44;;;0,42;50,06;QnnSnn
1;13;1-C13;1-C13-q18s02.txt;3527;19498;18;2;55,36;;;0,42;35,6;QnnSnn
1;14;1-C14;1-C14-q05s00.txt;2953;15856;5;0;52,47;;;0,45;41,51;QnnSnn
1;15;1-C15;1-C15-q23s30.txt;2779;15167;23;30;49,14;;;0,44;43,53;QnnSnn
1;16;1-C16;1-C16-q23s17.txt;2806;15393;23;17;51,85;;;0,44;39,39;QnnSnn
1;17;1-C17;1-C17-q22s33.txt;3188;17244;22;33;48,91;;;0,44;45,06;QnnSnn
1;18;1-C18;1-C18-q32s44.txt;3887;21485;32;44;56,13;;;0,43;38,15;QnnSnn
1;19;1-C19;1-C19-q26s28.txt;2754;15256;25;28;59,71;;;0,42;34,18;QnnSnn
1;20;1-C20;1-C20-q39s53.txt;5124;27567;39;53;53,76;;;0,43;41,35;QnnSnn
1;21;1-C21;1-C21-q24s36.txt;4357;23238;24;36;47,5;;;0,44;48,51;QnnSnn
1;22;1-C22;1-C22-q38s13.txt;3929;21244;38;13;46,49;;;0,43;47;QnnSnn
1;23;1-C23;1-C23-q29s30.txt;3996;21771;29;30;53,74;;;0,43;38,98;QnnSnn
1;24;1-C24;1-C24-q14s05.txt;3424;18717;14;5;59,13;;;0,43;32,66;QnnSnn
1;25;1-C25;1-C25-q32s53.txt;6282;33748;32;53;48,04;;;0,42;47,24;QnnSnn
1;26;1-C26;1-C26-q15s26.txt;2961;15572;15;26;51,46;;;0,41;44,46;QnnSnn
1;27;1-C27;1-C27-q06s09.txt;6360;34487;6;9;55,65;;;0,44;37,49;QnnSnn
1;28;1-C28;1-C28-q01s00.txt;5780;31226;1;0;64,66;;;0,43;30,44;QnnSnn
1;29;1-C29;1-C29-q30s14.txt;4571;24601;30;14;61,27;;;0,43;33,73;QnnSnn
1;30;1-C30;1-C30-q23s28.txt;3625;19589;23;29;51,93;;;0,44;42,3;QnnSnn
1;31;1-C31;1-C31-q27s28.txt;3522;18801;27;28;43,46;;;0,42;50,79;QnnSnn
